vehicle_id,vin,stock_no,year,make,model,trim,body_style,drivetrain,engine,transmission,exterior_color,interior_color,msrp,invoice,vehicle_cost,used_flag,certified_flag
9044,1ACN0AXNBASRZWJG1,ATN-00045,2024,Chevrolet,Malibu,EX,Truck,4WD,V8,CVT,Gray,Gray,29181.87,28289.8,28061.45,False,False
9045,L2BRRJPB9LH0C1TDD,ATN-00046,2023,Ford,Mustang,XLE,Sedan,AWD,Hybrid,Manual,Black,Gray,24074.11,22315.43,22265.72,True,True
9046,UJ3G9HVHG8NNTNZ3V,ATN-00047,2024,Toyota,Corolla,LE,Coupe,AWD,V6,Automatic,White,Black,45569.97,44413.47,44747.82,True,True
9047,9EGTR6VT6DGMCV0X4,ATN-00048,2022,Toyota,Tacoma,LE,SUV,RWD,V8,CVT,Blue,Beige,58603.57,57045.74,55926.9,True,True
9048,H226U173LHJDLG375,ATN-00049,2023,Toyota,Corolla,SE,SUV,4WD,Hybrid,Automatic,Blue,Brown,55504.06,53099.71,53869.82,True,False
9049,ARYG4S7Z1KDAL978L,ATN-00050,2023,Toyota,Camry,Sport,SUV,4WD,Hybrid,Automatic,White,Brown,35787.25,33634.78,33336.31,True,False
9050,5XH8BG23CAFW9P6Y0,ATN-00051,2021,Chevrolet,Malibu,EX,Coupe,AWD,Hybrid,Automatic,White,Gray,58305.65,54802.55,55388.75,True,True
9051,0GCL8J3GTNNH2P6NY,ATN-00052,2023,Toyota,Corolla,Limited,Sedan,4WD,Hybrid,Manual,Red,Gray,23999.52,22991.41,23149.72,True,False
9052,479MMJG1X913SU2YV,ATN-00053,2025,Chevrolet,Silverado 1500,Base,Truck,AWD,V6,Automatic,Black,Beige,56606.26,52547.07,52762.56,False,False
9053,XHZ73V4AGB1KDDNUL,ATN-00054,2022,Ford,Escape,Touring,Truck,RWD,I4,CVT,Blue,Black,51385.78,47726.38,46890.28,False,False
9054,VD113XDATN5R0NNV5,ATN-00055,2022,Honda,Pilot,Touring,Coupe,FWD,Hybrid,CVT,Red,Beige,30039.99,27950.04,27965.52,True,True
9055,AY6KCKXDW8ZEXRME9,ATN-00056,2025,Honda,CR-V,Limited,SUV,AWD,V8,CVT,Silver,Gray,45352.45,42822.01,42564.06,True,False
9056,5SSCX1H1TVB09958C,ATN-00057,2021,Chevrolet,Silverado 1500,Sport,Sedan,RWD,I4,Manual,White,Gray,60626.11,56476.3,56507.69,False,False
9057,4EKB6YCFEDMTERT31,ATN-00058,2021,Honda,Pilot,XLE,Sedan,FWD,I4,Manual,Red,Black,49099.34,46447.07,45549.51,False,False
9058,VWFV512B7LRJ2VKW0,ATN-00059,2025,Toyota,Corolla,LE,Sedan,AWD,V6,Manual,Gray,Beige,27299.11,25123.42,25220.55,True,True
9059,LMRTNHMD6EVETGN8Y,ATN-00060,2025,Honda,Pilot,SE,Sedan,RWD,V8,CVT,Blue,Beige,27513.25,26394.24,25971.98,False,False
9060,0X4LAXSR4U0JY765Z,ATN-00061,2025,Ford,Escape,Platinum,Sedan,AWD,V6,Manual,Black,Beige,42939.77,39784.98,40016.61,False,False
9061,B2PCT7K02RVJ699F2,ATN-00062,2021,Toyota,Camry,Touring,SUV,RWD,Hybrid,Automatic,Black,Gray,43593.19,41839.03,42421.4,False,False
9062,8RET0RCP0176CCXGU,ATN-00063,2021,Chevrolet,Traverse,XLE,Coupe,AWD,I4,Manual,Silver,Brown,46881.15,44734.44,44513.74,False,False
9063,87A9J5LRE9UPKML0H,ATN-00064,2023,Honda,Pilot,Sport,Coupe,4WD,V6,Manual,Black,Brown,56880.42,54788.09,54747.58,True,False
9064,LJ9CKDLTM2BVFP577,ATN-00065,2021,Toyota,RAV4,SE,SUV,AWD,V6,Manual,Gray,Beige,57705.63,55169.49,55819.64,True,True
9065,1JGBN93KGM7C9HF7J,ATN-00066,2022,Chevrolet,Silverado 1500,LT,Coupe,RWD,Hybrid,CVT,Silver,Black,44447.9,41879.82,41114.99,True,False
9066,RFV3TNAAHA1PX30GK,ATN-00067,2023,Chevrolet,Equinox,EX,Coupe,AWD,V8,Manual,Blue,Gray,50017.77,46777.52,47441.72,False,False
9067,7TWZ2JHR5LGP92YDL,ATN-00068,2022,Chevrolet,Malibu,Sport,SUV,4WD,Hybrid,Automatic,White,Beige,63476.52,58418.55,57463.03,False,False
9068,C12VDM85ANVNC9RLC,ATN-00069,2021,Honda,Accord,Platinum,Truck,4WD,V8,Manual,Blue,Brown,32288.03,29705.54,29298.51,False,False
9069,VZZURN62ATM39GE9V,ATN-00070,2021,Honda,Civic,LE,Truck,4WD,Hybrid,Manual,Blue,Gray,62721.67,60725.65,61835.01,False,False
9070,B7HTE1RRX3ZATSVF2,ATN-00071,2024,Ford,Mustang,Platinum,Truck,RWD,V8,Automatic,Gray,Gray,25269.24,24659.84,24636.71,False,False
9071,TPRNSZKGHF8AC70X8,ATN-00072,2022,Chevrolet,Equinox,XLE,Truck,4WD,V6,Manual,Black,Black,43104.63,42202.18,42904.44,False,False
9072,9Z2M6H6XAAP1GX0TM,ATN-00073,2025,Chevrolet,Malibu,Base,Truck,RWD,Hybrid,CVT,Black,Brown,32196.98,30531.78,30669.89,False,False
9073,5MJRGUS41NKK7AM38,ATN-00074,2024,Ford,Explorer,Limited,Sedan,4WD,I4,Manual,Black,Black,55769.32,52311.74,52441.76,True,False
9074,5YT00TZB3HZNMVZX9,ATN-00075,2024,Honda,Accord,LE,Truck,4WD,V6,Automatic,Gray,Beige,55314.01,52372.18,51488.99,False,False
9075,LYRXXVU2U5053LMBJ,ATN-00076,2021,Chevrolet,Malibu,LE,SUV,4WD,I4,Automatic,White,Brown,62438.81,60068.75,59059.75,True,False
9076,FGTKF1WRSV5JJLBCZ,ATN-00077,2024,Toyota,Camry,Touring,Truck,4WD,V6,Manual,Red,Gray,59162.37,56087.8,56919.91,False,False
9077,WZ7RF5W03TKWAAJZV,ATN-00078,2025,Chevrolet,Malibu,Touring,Coupe,AWD,I4,CVT,Silver,Gray,45009.25,43265.87,43251.91,False,False
9078,42SL11RTF4SUVU3NE,ATN-00079,2022,Toyota,Corolla,LT,Truck,4WD,V6,CVT,White,Gray,34452.6,33012.95,33168.41,True,True
9079,VUJ5ARFKA8PY3W806,ATN-00080,2022,Toyota,Camry,LE,Truck,4WD,I4,Manual,Blue,Gray,25449.59,24559.72,24212.04,True,False
